"type" "age"
"1" "Armi" 0.403113986289943
"2" "Armi" 0.484017425199409
"3" "Armi" 0.530788091014853
"4" "Armi" 0.56522003749858
"5" "Armi" 0.515346903947833
"6" "Armi" 0.457121336294935
"7" "Armi" 0.541502584507857
"8" "Armi" 0.553314526224393
"9" "Armi" 0.556211466471501
"10" "Armi" 0.55011616647521
"11" "Armi" 0.451460280765153
"12" "Armi" 0.464560459962699
"13" "Armi" 0.501698658883508
"14" "Armi" 0.48367392176735
"15" "Armi" 0.475013202213596
"16" "Armi" 0.51699279845785
"17" "Armi" 0.513053955154331
"18" "Armi" 0.529341934853528
"19" "Armi" 0.550215840188367
"20" "Armi" 0.458675710984018
"21" "Armi" 0.56738495993395
"22" "Armi" 0.591774447631209
"23" "Armi" 0.631515449044146
"24" "Armi" 0.599275509650321
"25" "Armi" 0.607366239376346
"26" "Armi" 0.470919992361855
"27" "Armi" 0.429972304683974
"28" "Armi" 0.465639570436927
"29" "Armi" 0.485949160234534
"30" "Armi" 0.518825046000949
"31" "Armi" 0.488076372040364
"32" "Armi" 0.482707902035651
"33" "Armi" 0.455353361873938
"34" "Armi" 0.470346565787574
"35" "Armi" 0.453390928456889
"36" "Armi" 0.471447239574054
"37" "Armi" 0.449924811106798
"38" "Armi" 0.46186881797343
"39" "Armi" 0.484563556008197
"40" "Armi" 0.434869825263448
"41" "Armi" 0.398353344518143
"42" "Armi" 0.375581436448978
"43" "Armi" 0.428474203769705
"44" "Armi" 0.359386253277804
"45" "Armi" 0.350890294495521
"46" "Armi" 0.41102663480462
"47" "Armi" 0.448301949590587
"48" "Armi" 0.421718550881352
"49" "Armi" 0.429662965356247
"50" "Armi" 0.463005025106793
"51" "Armi" 0.464968094443902
"52" "Armi" 0.507641653133415
"53" "Armi" 0.48537017911293
"54" "Armi" 0.41141132105551
"55" "Armi" 0.468310034205623
"56" "Armi" 0.485419360982468
"57" "Armi" 0.439562595008533
"58" "Armi" 0.485510037659302
"59" "Armi" 0.508108809596371
"60" "Armi" 0.519088472940969
"61" "Armi" 0.513910388588825
"62" "Armi" 0.525130653669812
"63" "Armi" 0.596179205524703
"64" "Armi" 0.568567267950232
"65" "Armi" 0.523813825099767
"66" "Armi" 0.530794182678284
"67" "Armi" 0.544423031916688
"68" "Armi" 0.588955168815985
"69" "Armi" 0.613299479690257
"70" "Armi" 0.518186119941393
"71" "Armi" 0.525408055541761
"72" "Armi" 0.448126105640098
"73" "Armi" 0.399365666005629
"74" "Armi" 0.415443105685033
"75" "Armi" 0.49385936093942
"76" "Armi" 0.434013552811636
"77" "Armi" 0.411534848056177
"78" "Armi" 0.467454538895144
"79" "Armi" 0.391677152559681
"80" "Armi" 0.435747287866642
"81" "Armi" 0.401001015176362
"82" "Armi" 0.393211793845778
"83" "Armi" 0.40826860961129
"84" "Armi" 0.419161639330938
"85" "Armi" 0.316548595984596
"86" "Armi" 0.334072159730115
"87" "Armi" 0.37256937295208
"88" "Armi" 0.371796324575914
"89" "Armi" 0.345766454678839
"90" "Armi" 0.382044354969941
"91" "Armi" 0.441204926995617
"92" "Armi" 0.468776424457315
"93" "Armi" 0.502461462846905
"94" "Armi" 0.408277923173598
"95" "Armi" 0.367248393872461
"96" "Armi" 0.342997526031187
"97" "Armi" 0.399864857314342
"98" "Armi" 0.451244747827916
"99" "Armi" 0.401081065932618
"100" "Armi" 0.337225152746585
"101" "Armi" 0.420338239139042
"102" "Armi" 0.400095226664415
"103" "Armi" 0.441506976501864
"104" "Armi" 0.476131350481606
"105" "Armi" 0.490262804901857
"106" "Armi" 0.470766268805438
"107" "Armi" 0.513102135766686
"108" "Armi" 0.504185465741014
"109" "Armi" 0.403931426838059
"110" "Armi" 0.455839966448897
"111" "Armi" 0.433822137370265
"112" "Armi" 0.378751354719124
"113" "Armi" 0.430891219254892
"114" "Armi" 0.45872119745487
"115" "Armi" 0.382265345746534
"116" "Armi" 0.403800751348483
"117" "Armi" 0.390200400801152
"118" "Armi" 0.367423428419925
"119" "Armi" 0.336279909801172
"120" "Armi" 0.376681310796668
"121" "Armi" 0.395669034043239
"122" "Armi" 0.368478854326396
"123" "Armi" 0.332110003500627
"124" "Armi" 0.356456200819636
"125" "Armi" 0.348943660182753
"126" "Armi" 0.378738611648614
"127" "Armi" 0.390513721083034
"128" "Armi" 0.417029625446562
"129" "Armi" 0.404315604467909
"130" "Armi" 0.42295845021087
"131" "Armi" 0.435229752216363
"132" "Armi" 0.470139919004029
"133" "Armi" 0.491583991979866
"134" "Armi" 0.483503398205484
"135" "Armi" 0.507492552605071
