# BEAST v1.7.0 Prerelease r4143, r4143
# Generated Wed Jul 26 18:09:17 BST 2017 [seed=1501088955461]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(arx_obsr)	tmrca(paralog_arx)	yule.birthRate	CP1+2.kappa	CP3.kappa	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	CP1+2.treeLikelihood	CP3.treeLikelihood	speciation
0	-3392845.477282676	-3384331.7300624535	-8513.74722022214	0.20690210195679976	0.07415485429118729	0.09507868168113201	6.1	2.0	2.0	0.5	0.5	1.0	1.0	1.0	0.3333333333333333	0.9739821808398901	0.339758074628919	0.6631343043964231	-4081.254027858051	-4432.49319236409	53.50409112846977
10000	-8545.212468359568	-214.2546338686359	-8330.957834490933	1.4389816579602734	1.0005382389693265	1.0005382389693265	3.679212025411136	1.373834521284308	4.722971327426726	0.5630091350059641	0.6931666488518681	0.6142609858162567	1.7714780283674867	0.8779736037890501	1.1643891714107406	0.6021286253988981	1.0198528286462105	0.011192057112480681	-4046.8647151383316	-4284.093119352601	18.08213102367216
20000	-8485.591965692798	-217.1639961963594	-8268.427969496439	1.0417987967959574	1.0002231446715355	1.0002231446715355	4.186590083065329	1.2647261423668603	4.098298210703641	0.41432257730192035	1.695115039507748	0.6294852033234011	1.7410295933531978	0.7812495377551384	1.2814765785036546	0.5743141341054899	0.9738891178966146	-0.05453155282166024	-4039.839752413988	-4228.588217082451	16.880197144748223
30000	-8467.211460172284	-223.25747424127042	-8243.953985931013	1.0165391113849678	0.9998496912309354	0.9998496912309354	3.7872088416789786	1.234990507953317	4.269729433149908	0.3762389291521592	3.6557285413520484	0.5620275168229049	1.8759449663541907	0.9384175879609586	1.4458278796382353	0.536444190735666	1.1321624094768434	-0.12402591171993738	-4029.5232532279624	-4214.430732703051	15.151002929668131
40000	-8474.039047605538	-224.74169632530672	-8249.297351280231	1.0003867391565815	1.0003867391565815	1.0003867391565815	3.55061123598624	1.3218011213560337	4.9217610518639505	0.5567680398108322	2.7349872193111606	0.5368013910675213	1.926397217864958	0.7309101511212533	1.334207627727925	0.4866048374930957	0.9952653130301989	-0.022873024079226974	-4043.9215856631527	-4205.375765617078	12.140515670920395
50000	-8490.269118017999	-227.42010570393074	-8262.84901231407	1.017910054509372	0.9984703917167362	0.9984703917167362	3.06440845651066	1.2134730975174504	4.037919070978134	0.5680622029156942	2.883956250799714	0.62086108049551	1.7582778390089808	0.5744122295046823	1.164132881449569	0.48282426748896873	0.8692968596033109	0.2014726304892819	-4033.659509960282	-4229.189502353786	10.062103638144702
60000	-8498.785591766868	-238.45666638596634	-8260.328925380902	1.3722595858273257	0.9984703917167362	0.9984703917167362	2.641314169537186	1.2116836124120567	4.298670053293437	0.4528937746321621	3.901950451643052	0.6123525432288776	1.7752949135422458	0.544532094276832	1.0099005592703476	0.4203405403632296	0.8022168922237213	0.12401339205694747	-4032.8038217058197	-4227.5251036750815	0.44746194535233474
70000	-8476.15331519337	-245.93165275483744	-8230.221662438533	1.9846796676013851	1.0014304970458836	1.0014304970458836	1.7611140139885726	1.2686667098798057	4.298670053293437	0.5368490003178225	3.024156439318252	0.5947127973070632	1.810574405385875	0.34221135702326233	0.9423535517508986	0.292741846601462	0.7635493205795345	0.23763208146079168	-4021.5931997727475	-4208.628462665786	-8.940478900757473
80000	-8466.088285985148	-246.9228676709856	-8219.165418314162	1.7755971115454157	1.0007064718104748	0.9067651405049799	2.3433312876987045	1.1654342720724349	4.298670053293437	0.3994802391000475	2.0699429042897326	0.5756633883665198	1.8486732232669618	0.2603239921612952	0.6425909833985443	0.25790067539440054	0.5813809592711859	-0.04252486938241809	-4017.6933856765336	-4201.472032637627	-13.828730254614323
90000	-8464.342122362497	-257.8547270706216	-8206.487395291875	2.5565918871260633	0.9993244777812199	0.8001110521266889	1.2883370843729616	1.2164942233969394	4.179079340502322	0.502870463730576	3.1360899239070825	0.5928168934730021	1.814366213053997	0.2440188670893645	0.599750741431566	0.20832468951652505	0.5146801308218892	-0.03761749746189227	-4005.24309040575	-4201.244304886124	-22.589174053947055
100000	-8466.409462784872	-258.5292841726188	-8207.880178612253	2.2833206666017256	1.0004096729312897	0.7291922058636029	1.38171714784673	1.2212837645018892	4.725024552587207	0.49915516243433694	3.019605300701847	0.5827076697907199	1.834584660418562	0.2968041291263917	0.6914680413398155	0.21164026568175737	0.6802795777780524	0.11032010804097168	-4019.288633669916	-4188.591544942337	-23.20847388417128
110000	-8487.368590422884	-260.8602507712718	-8226.508339651613	2.5144951287796933	0.9997723503973933	0.771958658847447	1.3926563338038318	1.2212837645018892	5.2643125574628	0.40530858289892746	3.3869396259112894	0.6012189511599659	1.79756209768007	0.2503181332252402	0.6875145813866765	0.1983119816555334	0.6680311813082146	0.24356508518034672	-4021.4908200332693	-4205.017519618343	-24.91318701802601
120000	-8474.899193603971	-258.9881682179557	-8215.911025386014	2.373681819507665	0.9997723503973933	0.5706030255754821	1.4329588953156747	1.2212837645018892	4.175972141034615	0.41104671320911573	3.1140371022585507	0.607644066949195	1.7847118661016117	0.2177272439054326	0.47699264070576336	0.20761683543011936	0.479296444483364	0.10221129096427395	-4018.720926286863	-4197.190099099152	-24.51940779198827
