# BEAST v1.7.0 Prerelease r4143, r4143
# Generated Fri Jul 14 08:12:49 BST 2017 [seed=1500016368217]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(obscura_root)	tmrca(paralog_armi)	yule.birthRate	CP1+2.kappa	CP3.kappa	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	CP1+2.treeLikelihood	CP3.treeLikelihood	speciation
0	-2983947.251546536	-2921473.799845142	-62473.45170139414	0.2928640468152075	0.08917623733510519	0.06992099756746428	3.6	2.0	2.0	0.5	0.5	1.0	1.0	1.0	0.3333333333333333	0.9909196548308676	0.33970163576288065	0.6626261745372156	-30549.05078275459	-31924.40091863954	35.605215961898566
10000	-61476.64400463276	-207.78658925293414	-61268.857415379825	1.000686318787172	1.000686318787172	0.07327502223795378	4.316176514087089	1.9274496428063803	3.9833655236617798	0.5152456427400363	0.5572557465773127	0.6466242379225962	1.7067515241548077	1.352544493591033	1.2110998340813621	0.6993681053302362	1.4782247355568638	0.06155489467423756	-30277.176891400228	-30991.680523979594	24.41992308140187
20000	-61425.966225375734	-207.81941999633463	-61218.1468053794	0.9992450113148234	0.9992450113148234	0.074269755284764	5.588503102169254	1.8353357050520636	4.01268966414138	0.5428770969709336	0.5572557465773127	0.627052733434289	1.745894533131422	1.4611709607429306	1.2409942061701547	0.7374272460041973	1.5225788093838886	0.0755481570421105	-30257.597241626216	-30960.549563753186	24.551458288749757
30000	-61077.50988755214	-209.63025962086323	-60867.87962793128	0.9992450113148234	0.9992450113148234	0.07873556365859477	5.067482447959144	1.7849500615059366	4.01268966414138	0.5306879165825078	1.3212803375675168	0.5351363455227898	1.9297273089544205	1.4564426431890043	1.1641740638885132	0.7983956836028231	1.378121249346155	0.06156561793542193	-30260.07099606779	-30607.808631863492	23.99323755719918
40000	-60941.978449851704	-213.3122815050777	-60728.66616834662	0.9998470274889898	0.9998470274889898	0.0809324289338278	4.839657180143083	1.9120873435279448	3.80630367468967	0.5306879165825078	3.1544384899380025	0.556602784995768	1.886794430008464	1.4376777465144333	1.140051424342626	0.7859895783595743	1.3094007896564948	0.07807239785261842	-30247.457380304324	-30481.2087880423	23.619276161928738
50000	-60935.676957952805	-214.25381013240326	-60721.4231478204	1.0004610306987742	1.0004610306987742	0.08448189530906705	5.360938247333049	1.7630546859263978	3.80630367468967	0.5207557374235424	3.5659314886662017	0.5623279805012655	1.875344038997469	1.3544968845021947	1.0715948079859596	0.7811965927505167	1.201225696056116	0.07416688146973945	-30252.28086185381	-30469.14228596659	23.31017415638874
60000	-60950.60786228204	-214.5665963813021	-60736.04126590074	1.0009011739215878	1.0009011739215878	0.08491856943365408	5.040776906632497	1.9641156164810174	3.7955816536670963	0.5207557374235424	3.2735976251905528	0.5641871945236351	1.8716256109527298	1.3749067288675816	1.1231953053271306	0.7508155022175731	1.313613621765698	0.03793177074916606	-30246.92500256182	-30489.116263338918	22.946023422859803
70000	-60950.48179950089	-215.39830218626778	-60735.08349731463	1.000444854675223	1.000444854675223	0.08342877241529237	4.328930466438859	1.825802806077486	3.7955816536670963	0.517358065787846	3.6839033608974563	0.5681054167872471	1.8637891664255057	1.4260064897040128	1.1330926698874622	0.7439813650048235	1.3604263512008452	0.044330199076321714	-30248.45733105249	-30486.626166262136	22.594224770395932
80000	-60952.35780328147	-215.5092595582065	-60736.84854372326	0.9997747341139859	0.9997747341139859	0.08222056654270679	4.368743799469187	1.825802806077486	3.7955816536670963	0.517358065787846	3.6842607968267456	0.5572490496289111	1.8855019007421778	1.4809631590033285	1.133030736427455	0.7478443233435749	1.366283007432673	0.056870707654826505	-30255.80415821179	-30481.04438551147	22.409265634249316
90000	-60944.78680902105	-217.34060061825858	-60727.44620840279	0.9979756701682501	0.9979756701682501	0.08379561965304516	4.463349904562812	1.8185318377693456	3.8443516701326783	0.517358065787846	3.7741751564779875	0.558757127226144	1.882485745547712	1.5944422010257642	1.1915793574377882	0.7667399423852134	1.4748854267138483	0.009365110863487925	-30246.05173831147	-30481.394470091316	22.97100899083702
