# BEAST v1.7.0 Prerelease r4143, r4143
# Generated Sat Jul 29 21:04:39 BST 2017 [seed=1501358677692]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(mael_obsr)	tmrca(paralog_mael)	yule.birthRate	CP1+2.kappa	CP3.kappa	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	CP1+2.treeLikelihood	CP3.treeLikelihood	speciation
0	-79232.82216353172	-38511.97530443048	-40720.846859101235	217.03176585269105	13.07065443995748	91.76677423564674	4.0	2.0	2.0	0.5	0.5	1.0	1.0	1.0	0.3333333333333333	1.158161059451187	0.3398122108875711	0.6927988851663754	-24033.18675968981	-16687.660099411427	-5243.302287150175
10000	-19035.488787991664	-292.725301818129	-18742.763486173535	6.461979805532072	1.0057899642022017	2.521836944844274	0.6493752490424424	1.5504576083674033	2.5904153884332213	0.6141500764655781	0.6533126750749996	0.5698808503357699	1.86023829932846	0.19986208306461983	1.05574804038534	0.0921411049526796	1.197680703397819	0.2194608906358034	-9182.20540602447	-9560.558080149065	-58.98428803393141
20000	-18723.60535827525	-294.24280222448095	-18429.362556050768	7.867406014946549	0.9901002096357462	2.844111554847643	0.7010120581665074	1.5697270784781823	4.0320687602966245	0.6269229836036048	0.8614931432654875	0.5385546024270205	1.922890795145959	0.21206561487417916	1.0711654143825065	0.09232018337761083	1.586076485514882	0.157004636995519	-9027.090440738408	-9402.27211531236	-59.20951464819966
30000	-18581.450128379696	-293.07343334782263	-18288.376695031875	7.342512718807043	0.9927273414642257	2.4065579461001314	0.6507291718781646	1.4872480549284248	4.144503773085737	0.6197976595206534	1.802227298834182	0.5472720396316955	1.905455920736609	0.2489330138579832	1.1352077069458604	0.1029814595982741	1.7690366643224906	0.008139491155102919	-8991.20157247255	-9297.175122559327	-56.2047457531893
40000	-18518.774342031553	-295.65559397662014	-18223.118748054934	7.182918667458462	1.0029552734611882	2.5171426245797193	0.5970295911744906	1.5795805074093323	3.6955118168277004	0.5741988424863862	3.922562226012284	0.5234245430248989	1.9531509139502026	0.20461334185022131	1.0388960979925321	0.10036215093534168	1.5719790727696574	0.0706001153214422	-8975.072508983338	-9248.046239071595	-55.23711223032653
50000	-18522.899628335756	-298.3927042427285	-18224.506924093028	6.592019516116354	1.005669592363977	2.1991101173848935	0.6941007399097254	1.5934918681093662	3.903610133459345	0.6462515871795292	4.1571170708616485	0.5339582051315231	1.9320835897369544	0.18112042336509593	1.0572465710029537	0.10013974377535574	1.503139168701562	0.05836417283841948	-9003.155234767339	-9221.35168932569	-57.11336880479455
60000	-18487.669093190787	-295.1887155683815	-18192.480377622407	5.117715220431346	0.9904835551303673	2.0777764489994675	0.6584552749145901	1.5867065876121274	4.076613189849003	0.7025171878739569	4.339219575193855	0.5058946688457158	1.9882106623085694	0.1867346292290919	0.9543856602562579	0.10838075655780494	1.327305582356361	0.13726765978463332	-8950.902672449169	-9241.57770517324	-53.41549651631271
70000	-18320.57363998252	-296.5044195434907	-18024.06922043903	5.176957455866157	0.99887512013547	2.2356779091276486	0.8490127185899834	1.4958202168386596	3.9376657658433305	0.6527410903183143	4.366313210803844	0.542044071571586	1.915911856856829	0.16020500319856534	0.949872111660329	0.1017072573605559	1.2794495268341979	0.08134397984481599	-8838.721104651619	-9185.34811578741	-55.30911593400736
80000	-18325.40378094673	-300.6846980661534	-18024.719082880576	4.898373465118897	1.004266220789037	1.8526000659206163	0.7916909677261702	1.4958202168386596	4.031922946485513	0.654126875138957	5.732489972065765	0.531685878164772	1.9366282436704565	0.14584639896761833	0.9048965336279133	0.09493318763787612	1.20680493128471	0.03621941757546019	-8857.417582528033	-9167.301500352542	-56.76739467165825
90000	-18323.905813191483	-302.08549341125246	-18021.82031978023	5.800868162518968	1.005362390837181	2.393911302310635	0.7923764579150214	1.8793337617124815	3.7999270543215	0.654126875138957	5.259591788616477	0.5378112963347965	1.9243774073304074	0.1365795494200602	0.863419510042231	0.09450499156140309	0.9698792664668732	0.13541948210438065	-8845.991502809798	-9175.828816970432	-59.09982046586809
