# BEAST v1.7.0 Prerelease r4143, r4143
# Generated Sat Jul 15 19:37:44 BST 2017 [seed=1500143864037]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(obscura_root)	tmrca(paralog_cuff)	yule.birthRate	CP1+2.kappa	CP3.kappa	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	CP1+2.treeLikelihood	CP3.treeLikelihood	speciation
160000	-22130.0293217509	-237.0526109043378	-21892.97671084656	1.37807486214385	1.0075333451018156	0.14837122294335375	2.855823197891031	1.75860539081799	3.248642828923567	0.8810901545468782	0.5051985961263116	0.043505154409284125	2.9129896911814317	8.31003565827642	0.9096907534663967	7.559632156074407	0.8089949469493849	0.13864471015989804	-12033.214984687243	-9859.761726159317	-3.072912588989605
170000	-22120.416937741367	-235.87467442162787	-21884.542263319738	1.3646475846328625	0.9964001834903273	0.10764819973468404	2.318391982517061	1.5092211824139858	3.1772318757407003	0.904438960477007	0.5051985961263116	0.043505154409284125	2.9129896911814317	8.404694053363368	0.9000301500384815	7.833627784002027	0.7980377594830781	0.20144337879776153	-12020.397963960153	-9864.144299359585	-2.2379595985530623
180000	-22125.888867728074	-236.352370870843	-21889.536496857232	1.3583892000356421	0.9985553753062715	0.11202289533936197	2.233388262065755	1.453646976698508	3.350323371515998	0.8193479948541632	0.5137536036696221	0.04339724231035927	2.9132055153792815	8.644872358485129	0.9457523062018303	7.5799168492933	0.8501730687922668	0.030448203775214462	-12038.515265398333	-9851.021231458899	-2.746593791864484
190000	-22134.50051997997	-239.90451199459034	-21894.59600798538	1.4427298230666812	0.9755760534775462	0.10652882279542718	2.2716651839154687	1.4200200417697249	2.8702546729940415	0.834277502330919	0.5137536036696221	0.04339724231035927	2.9132055153792815	7.8284581580261445	0.7909014688554753	7.347592774170639	0.7760866347141016	0.1341251183733845	-12028.05620377555	-9866.53980420983	-3.903186858428807
200000	-22113.630859691388	-243.83985453299158	-21869.791005158397	1.700609008954989	1.0191846625016867	0.11731123399380733	2.7090270435685295	1.5096509312916764	3.1430227191471025	0.8747355116452665	0.5238515704851409	0.04452059473568171	2.9109588105286366	6.494124652520858	0.69436699568135	6.2351901152617835	0.6498504534786697	0.32125732147982267	-12001.79672925245	-9867.994275905949	-9.079472934477014
210000	-22121.07932728875	-239.66136999541473	-21881.417957293335	1.5417418358033788	0.9851774837710996	0.1192123921084893	1.9007910382382847	1.3227074126688536	3.037544625470801	0.8864937662476419	0.5238515704851409	0.04688075354271437	2.9062384929145715	6.7759235895376415	0.6724996545136852	6.548572693664052	0.5986346737863263	0.2576988858261942	-12004.658063097722	-9876.759894195613	-5.798279033287475
220000	-22128.390479330166	-242.92887967928544	-21885.46159965088	1.519802720801844	1.0094498809527503	0.107395342491243	2.8987823513477764	1.454728081241419	3.0660331289326526	0.8972966925704361	0.5238515704851409	0.04688075354271437	2.9062384929145715	5.982167778956915	0.6855036684548707	6.085970353589963	0.5721192289242623	-0.004350122452882927	-12009.946330145374	-9875.515269505504	-9.577184533542919
230000	-22138.540545240794	-242.2268198709913	-21896.313725369804	1.5846579887212993	1.0066753124130536	0.08063312403798763	2.1927653495798136	1.4285369251012923	3.0660331289326526	0.8825460991564957	0.5238515704851409	0.04788130490304744	2.9042373901939054	6.096320886970081	0.6670882001833593	5.875706027107613	0.6609227897657636	9.733932378965322E-4	-12030.389075284325	-9865.924650085479	-9.195791410798632
240000	-22115.039814848707	-241.68580119122507	-21873.35401365748	1.6621043548607504	0.9954319295993982	0.20231374691002635	2.0846948680079245	1.4719568611389908	3.2188086187716562	0.8227973798083487	0.5238515704851409	0.048645116441249026	2.902709767117502	6.4114807286511954	0.7787016579236911	5.918958362068513	0.6755147094352215	0.09593955909900832	-12018.784620910648	-9854.569392746831	-8.501752827007014
250000	-22128.565644542585	-245.59711245662731	-21882.968532085957	1.7852821621840107	1.0123703626871727	0.16823639529190798	1.757848800682004	1.4150583987966379	2.8923390219634295	0.8814399293540928	0.5238515704851409	0.0484315441762346	2.903136911647531	5.272032688662482	0.6966221225418533	5.356857470015462	0.6200951219828019	0.18601490182003375	-12014.92634708476	-9868.042185001195	-12.004054623874723
260000	-22150.401296957436	-245.66128021762185	-21904.740016739815	1.6918421744512981	1.001297556353268	0.18039622035503972	1.8675884925022974	1.4613934798568555	2.9906882860961574	0.7778132705153771	0.5237111157135881	0.04487811993251184	2.9102437601349767	4.952163846467137	0.5807647323878352	5.491892395876198	0.5710455151440875	0.042088341608706774	-12020.464624895447	-9884.275391844369	-13.332974483133363
270000	-22137.363251552742	-248.53241803096012	-21888.83083352178	1.7191837194471242	1.0033920878122962	0.166242827809587	1.9575089475570648	1.4350458454592379	3.347994585309993	0.8742828160335827	0.5231226455333156	0.04581199651894313	2.908376006962114	5.012030144895671	0.6874093016765679	5.239983904979305	0.7143604976353285	0.06884222486101221	-12017.621032072842	-9871.209801448937	-15.527382031187742
280000	-22132.76698989795	-248.82616576394074	-21883.94082413401	1.8347776879671356	1.0085104805123697	0.16562147512081862	2.104944022318456	1.4350458454592379	3.228123106205636	0.934633843777222	0.5231226455333156	0.05104653821391669	2.897906923572167	4.455069325232257	0.5982885634172272	4.569797113670391	0.6008269213089806	0.07215052715544461	-12025.353139678922	-9858.587684455088	-15.699308562413261
