# BEAST v1.7.0 Prerelease r4143, r4143
# Generated Wed Jul 26 15:53:27 BST 2017 [seed=1501080806070]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(paralog_vret)	tmrca(vret_obsr)	yule.birthRate	CP1+2.kappa	CP3.kappa	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	CP1+2.treeLikelihood	CP3.treeLikelihood	speciation
100000	-40408.98621551435	-266.8985484574193	-40142.08766705693	1.8037409560087574	1.0331442497101644	0.9989486988745713	1.8232316992812088	1.8909098116909577	3.1182576285595225	0.8552864993886061	5.239429030658782	0.6121973976351733	1.7756052047296533	0.5144895069560588	1.4828459291683995	0.27241785264823565	1.7286396285500354	-0.03600026500499342	-21198.35392499147	-18943.73374206546	-22.062562503714286
110000	-40386.72769989334	-265.92987712119185	-40120.79782277215	1.7819832073957251	1.0721447093613095	0.9933722068919583	1.3863273605260613	1.8909098116909577	3.190094235475787	0.744478401070525	4.867214719032424	0.6159932216053127	1.7680135567893747	0.45226438891640425	1.4122533253264096	0.2777647140462353	1.487580974453683	-0.05295804347014975	-21184.8144088494	-18935.983413922742	-22.0395968946098
120000	-39952.860509638725	-268.274741797513	-39684.585767841214	1.905729394729062	1.122093817979859	1.0162829779374538	1.7008282371940568	1.8418881417338973	3.446119518706399	0.8875250226270925	4.656888349068502	0.6134880347099482	1.7730239305801034	0.33977910866089817	1.2321524671020598	0.23306890323449458	1.2236851598605114	-0.07361156739926772	-20866.560755802457	-18818.025012038754	-23.87474727364877
130000	-39738.989773651745	-266.9653976020033	-39472.02437604974	2.01545364302607	1.1090680693020514	0.9981772324124842	1.4323873635878346	1.7714838011023661	3.365572177173962	0.9024705430126971	5.157320021860343	0.5962028121523469	1.8075943756953057	0.3419561257303943	1.1718139492204878	0.23158399900307772	1.1743774691660143	-0.06252610207209248	-20732.921660711778	-18739.10271533796	-23.086236785131874
140000	-39708.74380212406	-266.1697347921581	-39442.5740673319	1.9008762755720432	1.0540680774077464	0.9906356297749592	1.5747839095052159	1.8164232821330086	3.365572177173962	0.8932938191571163	5.125915071759753	0.6364187707939308	1.727162458412138	0.3584422371505261	1.1177604232419243	0.2510957564218661	1.036485084183591	-0.09224874606756066	-20725.86922828221	-18716.704839049693	-22.100930618917253
150000	-39709.385625569645	-267.6699999104867	-39441.715625659155	2.0294775340306876	1.1079504609814366	0.9977071558911281	1.6998291925992612	1.8149047266981844	3.4273941286830536	0.8643730442814057	4.806540689262726	0.6162325742338712	1.767534851532257	0.30170965741251726	1.0655150489248397	0.22284224169345143	0.9944017852613477	-0.0506024966221723	-20726.623080675865	-18715.092544983294	-24.83992893460648
160000	-39717.30240281748	-269.58800525780714	-39447.71439755967	2.153313614529684	1.0368084704806582	1.0111181154951594	1.073845210781687	1.8452884344615192	3.2063284667094796	0.8615008610827305	5.339535473376808	0.6211991925398858	1.757601614920228	0.3103041241920479	0.9611992833427844	0.23640503120036369	0.8940879411537562	-0.027155006474875554	-20731.488236161484	-18716.22616139819	-25.468437981509204
170000	-39714.40157497637	-265.49337476302327	-39448.90820021335	1.7670707924890108	1.1006806525826116	0.9935972640847981	1.4899262390716617	1.936840253094169	3.1184987379774003	0.9004043674905864	4.7277390103146235	0.6170548874681854	1.7658902250636288	0.2987433864465165	0.9961018477648349	0.23107231679437606	1.140055485257883	0.06984189720064757	-20729.46841149324	-18719.439788720112	-22.839365758069253
180000	-39713.25688573391	-269.62348718717715	-39443.63339854673	1.9682398084898582	1.1484156288538854	1.0127728127549358	1.7559457324198815	1.8440690088699174	3.1184987379774003	0.9133851507581776	5.696547378441763	0.6250297567762504	1.7499404864474988	0.26737247762918387	0.9189905061911512	0.229110715757196	1.0190481773234015	0.0719510886711407	-20729.7748772011	-18713.858521345628	-24.647096200653834
190000	-39714.19878223187	-265.6706654563661	-39448.5281167755	1.9415733728828048	1.1170634761779468	1.0015950736812815	1.2928817117374702	1.8039551553378312	3.1093657544363063	0.7603705646790823	5.16867317700921	0.5981347385579616	1.8037305228840763	0.2813492542179313	0.9483896784730991	0.23742320154056626	0.9425198944578088	-0.034615224443291445	-20737.629944142995	-18710.89817263251	-22.79679047043827
200000	-39705.44932368999	-264.05439595867597	-39441.39492773131	1.8327166471000604	1.1524435543937153	1.0003370130369558	1.4236561159920034	1.8643236310484228	3.0180545821404006	0.8913737930180038	4.684876010531806	0.6112665484049123	1.7774669031901749	0.2750711055840304	0.9304253609594653	0.24628922262840441	0.8351207782754461	-0.024187702731839622	-20725.214178981238	-18716.180748750074	-21.961480881761226
210000	-39694.40272078018	-261.58966451774745	-39432.81305626243	1.657198181770279	1.0860805770829367	0.9928402837658391	1.7524415405978875	1.9437573117114528	3.1399659443578254	0.8234439957896887	4.774899849270965	0.6230324942677928	1.7539350114644139	0.290582858079187	0.9594548205396719	0.2599034655289158	0.8543789800805363	-0.005867676694826528	-20711.252720529443	-18721.56033573299	-19.044205223948346
220000	-39709.074544073716	-267.789830440908	-39441.284713632806	2.195507187318785	1.1044407792020892	1.0011883539212272	1.2180631649988858	1.9437573117114528	3.0840076127113836	0.8156894908922149	5.134977218921503	0.6394688531332962	1.7210622937334072	0.2342811846647393	0.8973861532445646	0.22705594247182134	0.769600329539173	0.015954105478715803	-20726.28753889961	-18714.99717473319	-24.984012314255395
230000	-39700.81989021167	-267.10787717870323	-39433.71201303297	2.1308924477466067	1.101639984599662	1.0044134764076822	1.2346177663451687	1.8855796590993879	3.2343647637010324	0.860721941833265	4.977254708350707	0.6248381476565331	1.7503237046869333	0.22577396922429854	0.8289172060071954	0.230743441510019	0.7017376122033349	-0.04311031530004472	-20719.898741979072	-18713.813271053896	-24.609504853671776
240000	-39692.580520354	-267.36789226692764	-39425.21262808707	1.9420615610197542	1.093854226723329	0.9958434245346555	1.6005579492058812	1.8855796590993879	3.2343647637010324	0.9199661982440555	5.73492605220983	0.6224526568934765	1.7550946862130465	0.21518577915205836	0.7513193382576516	0.22933366783530115	0.6521744580876883	0.06239379652298823	-20694.857507963337	-18730.35512012373	-23.491555567003058
250000	-39702.2404393152	-268.3654014927822	-39433.87503782242	1.9359319194467706	1.1044528792263322	1.01901940174107	1.4051332681102835	1.8490072433261417	3.2343647637010324	0.899596211992419	5.043357374556913	0.6218358260234691	1.7563283479530616	0.23591027696323044	0.775029711784723	0.22952575563922423	0.6583378900821328	0.04100016311486852	-20720.30778307332	-18713.567254749098	-24.134049072967315
260000	-39696.28014991171	-266.8004744164585	-39429.479675495255	1.9241752482701575	1.103612532611893	1.0129188994134943	1.6743626746345894	1.793476706050864	3.4156579085135172	0.8130253988017341	5.222248095841934	0.614091599050002	1.7718168018999958	0.24018774038979537	0.804252091624699	0.23330721253439374	0.7120599892557126	-0.05960095746805894	-20719.54260707969	-18709.93706841557	-23.217982460057172
270000	-39705.696356186876	-264.4898040711225	-39441.20655211576	2.1029996825512134	1.1084307152978452	0.9898457953466756	1.4075660202108937	1.8575890801681092	3.3798540615529404	0.9397250541908756	4.266426039436798	0.6385790323406584	1.7228419353186832	0.23236610350018502	0.7483939773241184	0.2388525992303811	0.6324115240952027	-0.028608006471164522	-20729.229123875008	-18711.97742824075	-23.056578306224615
280000	-39697.36433178126	-266.31810930528053	-39431.04622247598	2.0838104326783156	1.0886588612391608	0.9895001646959574	1.4468092293405566	1.8376046211438193	3.097739498453461	0.9029688900093268	5.458462888303347	0.6119448008709164	1.7761103982581672	0.2251023295467302	0.6824380257695979	0.23740526271903595	0.5715826538724635	0.02110633036801932	-20702.3843713429	-18728.66185113308	-22.841484155486526
290000	-39694.26313483606	-265.650653276101	-39428.61248155996	2.145118845035584	1.0800727132988808	0.9963707277274106	1.3270537823384543	1.7733210929055456	3.20411129966591	0.8475115273343281	5.343171227220766	0.6120666853853217	1.7758666292293566	0.22015619558834537	0.6269796069530806	0.23080894918194553	0.4887691942867565	0.11866580912784871	-20716.039338502796	-18712.57314305716	-23.151830743389077
300000	-39683.96918184587	-267.19803452063064	-39416.771147325235	2.3030493463803237	1.073241283888425	1.0063602106597416	1.594422253369361	1.8784580675313747	3.20411129966591	0.9791606320010149	5.4819233615910585	0.6344007534885889	1.7311984930228221	0.22657797206590266	0.6150366509476975	0.23485900912652674	0.5355977088049849	0.2546493738571879	-20702.312037035437	-18714.459110289798	-24.00147673051866
310000	-39687.00701114615	-263.86693014746345	-39423.14008099868	2.0232526064962157	1.0909816895719062	0.996962594835513	1.5704710145318619	1.8784580675313747	3.2580583036570103	0.9236163644737053	4.641263327826586	0.6321470498547979	1.7357059002904043	0.22345105348860037	0.6185690894196681	0.23913168178707708	0.5828870270291537	0.261790702801009	-20700.475945838018	-18722.664135160667	-22.602426592569753
320000	-39691.22939668587	-266.8627000073464	-39424.366696678524	2.167737171243356	1.1281972262520903	1.0015409869616752	1.568495582475743	1.957185223855672	3.2030770115827476	0.8921845401087469	5.850203440965892	0.6243746820655544	1.7512506358688913	0.22261767235151875	0.6448000053864769	0.2334888250567815	0.518324196943096	0.22131810739192934	-20721.437116827437	-18702.929579851083	-23.17904363446541
330000	-39693.76217477463	-269.8648789115859	-39423.89729586305	2.349290532521096	1.049981758935438	0.9891742930320925	1.151010960787069	1.8246408153073441	3.2030770115827476	0.8541217370700075	6.335504138386289	0.6129625801454393	1.7740748397091215	0.21407598967868602	0.5719905610765124	0.22902439783895553	0.4917204166631736	0.32386978633409946	-20705.06875370406	-18718.82854215899	-24.997087967132195
340000	-39696.07647231349	-269.3869072913213	-39426.68956502217	2.348134847622333	1.0824646185397166	0.9909610181316453	1.8747512599996081	1.7628440338393354	3.0932945502388076	0.8226842692212517	5.4279236498954155	0.635304964780373	1.729390070439254	0.21274574040782457	0.6239199801361061	0.21920259975850165	0.511723578300797	0.21846829228796902	-20697.25052229568	-18729.439042726495	-26.482238435765318
350000	-39698.02241287319	-266.2595406678348	-39431.762872205356	2.540767945543996	1.0429174227377163	1.0005239686510818	1.2755670888522919	1.7356253886074058	3.0529978089883114	0.8861111881823441	4.663195158997277	0.6284148965113362	1.7431702069773276	0.2196747773251126	0.5103457798211557	0.22399976014945638	0.488244236177425	0.1945562572733558	-20707.99827980246	-18723.764592402895	-25.51997162328968
360000	-39691.574761726	-265.99360617497024	-39425.58115555103	2.4571332433577306	1.0720622452839033	1.003655772004149	1.3824501241994946	1.8072031537598152	3.124168282888615	0.8845244706532706	5.14219006692338	0.6167200344279892	1.7665599311440217	0.2124163527643584	0.4899053506288878	0.21988808823336137	0.43762142396550635	0.2582537510331295	-20707.66465338208	-18717.91650216895	-24.23638781159123
370000	-39690.57148601071	-268.046190752937	-39422.52529525777	2.469208698111277	1.0693846141816385	1.002351568915414	1.3400059558538997	1.9037742485324063	3.124168282888615	0.8845244706532706	5.567968746589366	0.6396767682158995	1.7206464635682008	0.2189700512161584	0.542087050260401	0.22017027542792772	0.4634315012655099	0.2038166894396118	-20696.820115302013	-18725.705179955763	-25.282491287473064
380000	-39692.39944770172	-265.43654175271286	-39426.962905949	2.359241393380694	1.0254353894698074	1.0028717062359018	1.4350528272675238	1.764598341519666	3.097231133047682	0.8718887173838823	4.618755792945086	0.6305727458049327	1.7388545083901346	0.22990076447401117	0.6318158335904969	0.2285684461306324	0.48248222224715026	0.03154647533048703	-20704.493140824645	-18722.46976512436	-24.37921783314642
390000	-39686.51252879562	-266.9331380854583	-39419.57939071016	2.549230665460118	1.047237963656044	0.997124296137383	1.7410683581326116	1.7559696701738337	3.097231133047682	0.8545790092979009	4.348814265289687	0.623713258215213	1.752573483569574	0.20717997814908157	0.4970422479440874	0.21463179362970047	0.4018615188381881	-0.06516967824492952	-20708.237842195325	-18711.34154851484	-26.86644502375959
400000	-39702.567314923035	-269.9314292312065	-39432.63588569183	2.3976632728847944	1.0683146952784177	0.9944717789606452	1.0332714783428418	1.7681748068237308	3.0378063613233075	0.9292269447249406	5.206627362011513	0.6308661588179412	1.7382676823641177	0.20741727420389894	0.5519084936584452	0.2150676860515171	0.4532399567855343	-0.07446579802143888	-20714.273998627974	-18718.361887063857	-27.742889404211642
410000	-39693.24064624429	-269.54125721586723	-39423.69938902842	2.4452721721543633	1.1650231387616086	0.9884038935324859	1.6195837962516344	1.7302573562419148	3.0119402232678376	0.8328097522445154	5.485461047322136	0.6254941092992656	1.7490117814014687	0.21117151860230335	0.4721773770745399	0.21493413500521114	0.4452995160047805	-0.06322693524744555	-20706.211840242766	-18717.48754878565	-26.73438149196072
420000	-39709.3761719724	-268.34247511864254	-39441.03369685376	2.4870262055516426	1.072598011578796	1.0036407298675756	1.672260172233557	1.7953352840464272	3.2339630758796316	0.8654162423250795	5.060950829022575	0.6382113084474212	1.7235773831051575	0.2068081766209539	0.40043060449728596	0.2166361121652692	0.36113261344286623	-0.12466426198758682	-20714.524924194433	-18726.508772659323	-27.021799158276217
430000	-39690.166815602475	-269.0230388341204	-39421.14377676835	2.381400878495778	1.0561995638365334	0.9939851855367502	1.001429064595164	1.8706638481602864	3.2272580744211337	0.8863687472403969	4.342256179998937	0.6361589546741874	1.7276820906516253	0.2058466104269341	0.4461204520066208	0.20757577355124626	0.39283955491787137	0.005118599804663201	-20700.90622902789	-18720.23754774046	-28.830902517246447
440000	-39688.852778849716	-271.9780492082467	-39416.874729641466	2.6220306231409505	1.1633294848549207	1.0101860576866792	1.6919289117197498	1.8975450843260284	3.2272580744211337	0.8863687472403969	5.380702855386802	0.6177522044931417	1.7644955910137166	0.221939115614208	0.45335946753717543	0.20596477214263373	0.4767987603758445	-0.04247731435055822	-20705.204166999338	-18711.670562642124	-29.320571474881156
