"accession"	"species"	"organ"	"sex"	"gene"	"genelength"	"reads"	"relex"	"normalized"
"382"	"DRR0055181"	"Dmir"	"3rd_instar_larvae"	"female"	"Ago2dDmir"	2283	555	0.243101182654402	0.00791383160316959
"383"	"DRR0055181"	"Dmir"	"3rd_instar_larvae"	"female"	"Ago2eDmir"	2286	0	0	0
"384"	"DRR0055181"	"Dmir"	"3rd_instar_larvae"	"female"	"rpl32Dmir"	405	12441	30.7185185185185	1
"385"	"DRR0055182"	"Dmir"	"3rd_instar_larvae"	"male"	"ArmiDmir"	3534	1457	0.412280701754386	0.0160907472497375
"386"	"DRR0055182"	"Dmir"	"3rd_instar_larvae"	"male"	"Arx1Dmir"	492	236	0.479674796747967	0.0187210458401202
"387"	"DRR0055182"	"Dmir"	"3rd_instar_larvae"	"male"	"Arx2Dmir"	498	34	0.0682730923694779	0.00266460464581657
"388"	"DRR0055182"	"Dmir"	"3rd_instar_larvae"	"male"	"Cuff1Dmir"	1122	157	0.139928698752228	0.0054612241490462
"389"	"DRR0055182"	"Dmir"	"3rd_instar_larvae"	"male"	"Cuff2Dmir"	1125	210	0.186666666666667	0.00728534258456201
"390"	"DRR0055182"	"Dmir"	"3rd_instar_larvae"	"male"	"Mael1Dmir"	1157	133	0.11495246326707	0.00448643612057082
"391"	"DRR0055182"	"Dmir"	"3rd_instar_larvae"	"male"	"Mael2Dmir"	1317	620	0.470766894457099	0.0183733826978053
"392"	"DRR0055182"	"Dmir"	"3rd_instar_larvae"	"male"	"Tejas1Dmir"	1413	144	0.101910828025478	0.00397743908165351
"393"	"DRR0055182"	"Dmir"	"3rd_instar_larvae"	"male"	"Tejas2Dmir"	1797	277	0.154145798553144	0.00601609794873503
"394"	"DRR0055182"	"Dmir"	"3rd_instar_larvae"	"male"	"Vret1Dmir"	2088	337	0.16139846743295	0.0062991596136017
"395"	"DRR0055182"	"Dmir"	"3rd_instar_larvae"	"male"	"Vret2Dmir"	2106	329	0.15622032288699	0.00609706377269257
"396"	"DRR0055182"	"Dmir"	"3rd_instar_larvae"	"male"	"Ago2abDmir"	2283	1472	0.644765659220324	0.0251643145402555
"397"	"DRR0055182"	"Dmir"	"3rd_instar_larvae"	"male"	"Ago2cDmir"	2283	5529	2.42181340341656	0.0945200374273591
"398"	"DRR0055182"	"Dmir"	"3rd_instar_larvae"	"male"	"Ago2dDmir"	2283	643	0.281646955759965	0.0109922922889839
"399"	"DRR0055182"	"Dmir"	"3rd_instar_larvae"	"male"	"Ago2eDmir"	2286	57	0.0249343832020997	0.000973154591582383
"400"	"DRR0055182"	"Dmir"	"3rd_instar_larvae"	"male"	"rpl32Dmir"	405	10377	25.6222222222222	1
"401"	"DRR0055183"	"Dmir"	"3rd_instar_larvae"	"male"	"ArmiDmir"	3534	1046	0.295981890209394	0.0151392606131352
"402"	"DRR0055183"	"Dmir"	"3rd_instar_larvae"	"male"	"Arx1Dmir"	492	177	0.359756097560976	0.0184012654094715
"403"	"DRR0055183"	"Dmir"	"3rd_instar_larvae"	"male"	"Arx2Dmir"	498	21	0.0421686746987952	0.00215689735451024
"404"	"DRR0055183"	"Dmir"	"3rd_instar_larvae"	"male"	"Cuff1Dmir"	1122	149	0.132798573975045	0.00679255145995113
"405"	"DRR0055183"	"Dmir"	"3rd_instar_larvae"	"male"	"Cuff2Dmir"	1125	156	0.138666666666667	0.00709270017681233
"406"	"DRR0055183"	"Dmir"	"3rd_instar_larvae"	"male"	"Mael1Dmir"	1157	112	0.0968020743301642	0.00495135641623093
"407"	"DRR0055183"	"Dmir"	"3rd_instar_larvae"	"male"	"Mael2Dmir"	1317	435	0.330296127562642	0.0168944091516633
"408"	"DRR0055183"	"Dmir"	"3rd_instar_larvae"	"male"	"Tejas1Dmir"	1413	120	0.0849256900212314	0.00434388790838579
"409"	"DRR0055183"	"Dmir"	"3rd_instar_larvae"	"male"	"Tejas2Dmir"	1797	200	0.111296605453534	0.00569274124888623
"410"	"DRR0055183"	"Dmir"	"3rd_instar_larvae"	"male"	"Vret1Dmir"	2088	319	0.152777777777778	0.00781447335185653
"411"	"DRR0055183"	"Dmir"	"3rd_instar_larvae"	"male"	"Vret2Dmir"	2106	288	0.136752136752137	0.00699477334991354
"412"	"DRR0055183"	"Dmir"	"3rd_instar_larvae"	"male"	"Ago2abDmir"	2283	1226	0.537012702584319	0.0274678131531509
"413"	"DRR0055183"	"Dmir"	"3rd_instar_larvae"	"male"	"Ago2cDmir"	2283	4168	1.82566798072711	0.0933816029545947
"414"	"DRR0055183"	"Dmir"	"3rd_instar_larvae"	"male"	"Ago2dDmir"	2283	538	0.235654840122646	0.0120535754293599
"415"	"DRR0055183"	"Dmir"	"3rd_instar_larvae"	"male"	"Ago2eDmir"	2286	52	0.0227471566054243	0.00116350068517263
"416"	"DRR0055183"	"Dmir"	"3rd_instar_larvae"	"male"	"rpl32Dmir"	405	7918	19.5506172839506	1
"417"	"DRR0055184"	"Dmir"	"ovaries"	"female"	"ArmiDmir"	3534	3995	1.13044708545557	0.065348425579433
"418"	"DRR0055184"	"Dmir"	"ovaries"	"female"	"Arx1Dmir"	492	248	0.504065040650406	0.0291387869630909
"419"	"DRR0055184"	"Dmir"	"ovaries"	"female"	"Arx2Dmir"	498	18	0.036144578313253	0.00208943109004674
"420"	"DRR0055184"	"Dmir"	"ovaries"	"female"	"Cuff1Dmir"	1122	1	0.00089126559714795	5.15219193327034e-05
